#;Genere;Età (anni compiuti, inserisca il numero);Che tipo di lavoro svolge (lo descriva in poche parole. Se ne svolge più di uno li descriva tutti).;Inquadramento (se svolge più di un lavoro, si riferisca a quello a cui dedica più tempo);Settore;Grado di istruzione più elevato raggiunto:;Coniuge/convivente;Genitori;Figli;Altri;Da sola/o;Quante ore lavora in media per settima? (straordinari inclusi);Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI LAVORATIVI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI PERSONALI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER FARE CHIAMATE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER NAVIGARE SUL BROWSER (es. Google Chrome) durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER USARE APPLICAZIONI (es. WhatsApp) durante l'orario lavorativo?;Il mio lavoro mi fa sentire ARRABBIATA/O.;Il mio lavoro mi fa sentire ANSIOSA/O.;Il mio lavoro mi fa sentire DISGUSTATA/O.;Il mio lavoro mi fa sentire SCORAGGIATA/O.;Il mio lavoro mi fa sentire PESSIMISTA.;Il mio lavoro mi fa sentire AFFATICATA/O.;Il mio lavoro mi fa sentire PIENA/O DI ENERGIA.;Il mio lavoro mi fa sentire ENTUSIASTA.;Il mio lavoro mi fa sentire ISPIRATA/O.;Il mio lavoro mi fa sentire A MIO AGIO.;Il mio lavoro mi fa sentire SODDISFATTA/O.;Il mio lavoro mi fa sentire RILASSATA/O.;Si sente sfinita/o alla fine di una giornata lavorativa?;La mattina, al pensiero di un'altra giornata lavorativa da affrontare, si sente già esausta/o?;Sente che ogni ora di lavoro è per lei stancante?;Ha abbastanza energie per la famiglia e gli amici durante il tempo libero?;Il suo lavoro è emotivamente spossante?;Si sente consumata/o e spenta/o a causa del suo lavoro?;Si sente frustrata/o a causa del suo lavoro?;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Quante volte accade che il suo lavoro le richieda di LAVORARE MOLTO VELOCEMENTE?;Quante volte accade che il suo lavoro le richieda di LAVORARE DURAMENTE?;"Quante volte le capita che il suo lavoro le lasci POCO TEMPO A DISPOSIZIONE per finire le cose che deve fare?";Quante volte al lavoro ci sono TANTISSIME COSE DA FARE?;Quante volte le capita di avere PIÙ LAVORO DI QUANTO NE POTREBBE SVOLGERE BENE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INTERRUZIONI DA PARTE DI ALTRE PERSONE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INADEGUATO AIUTO DA PARTE DEGLI ALTRI?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...REGOLE E PROCEDURE ORGANIZZATIVE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa...DEL SUO SUPERVISORE O DEL SUO CAPO?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...APPARECCHIATURE O FORNITURE INADEGUATE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...FORMAZIONE PERSONALE INSUFFICIENTE?;Quante volte accade che il suo lavoro le permetta di PRENDERE MOLTE DECISIONI IN AUTONOMIA?;Quante volte le capita di AVERE VOCE IN CAPITOLO rispetto all'organizzazione del suo lavoro?;Quante volte le capita di avere POCA LIBERTÀ DI DECIDERE COME FARE il suo lavoro?;Quante volte le capita di POTER DECIDERE COSA FARE a lavoro?;Quante volte le capita di POTER PIANIFICARE IL TEMPO in cui svolgere il suo lavoro?;Mi sembra di essere di fretta e in corsa contro il tempo;Continuo a lavorare dopo che i miei colleghi hanno smesso;"E’ importante per me lavorare intensamente anche quando quello che faccio non mi piace";Mi tengo impegnato e ‘metto molta carne sul fuoco’;"Sento che c’è qualcosa dentro di me che mi spinge a lavorare intensamente";Dedico più tempo al lavoro che a socializzare con gli amici, ad hobby o ad altre attività del tempo libero;"Mi sento obbligato a lavorare intensamente, anche quando ciò non è piacevole";Mi ritrovo a fare due o tre cose contemporaneamente, come ad esempio consumare il pranzo, scrivere un promemoria e utilizzare il telefono;Mi sento colpevole quando mi prendo del tempo libero dal lavoro;E’ difficile per me rilassarmi quando non lavoro;Inserisca il suo CODICE PERSONALE;Che tipo di smartphone possiede?;"Grazie! Questa fase preliminare dello studio è terminata. Una COPIA PDF del consenso informato, delle istruzioni e del modulo per l'autorizzazione del datore di lavoro* è allegata alla mail con cui l'abbiamo contattata. *****************  IMPORTANTE **********************************************************************Per inviarci le sue risposte deve: (1) cliccare sul tasto ""Continua"" qui sotto,(2) cliccare sul tasto ""Invia"" di seguito. ******************************************************************************************************Grazie mille per la collaborazione!";Start Date (UTC);Submit Date (UTC);Network ID
93jq0dcd2hgdcc2o93jq05w4yyjjng2k;Femmina;29;Tax advisor;Libero professionista/imprenditore;Privato;Laurea/Post-laurea;Coniuge/convivente;;;Altri;;10;5;3;3;1;3;5;2;1;1;4;1;1;5;5;5;3;3;1;3;1;1;2;1;2;1;;;Mal di schiena;;;;;;Febbre;;Affaticamento agli occhi;;;;Battito accelerato a riposo;;;Stanchezza o affaticamento;;;;;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;3;5;2;3;1;2;1;1;3;3;2;3;5;3;1;5;2;3;4;3;4;4;4;4;4;4;CBLS1958;Con sistema iOS (iPhone);Continua;2019-10-08 07:39:29;2019-10-08 07:49:40;1a9d701023
yimr9gwihk8mn3zcodyimr9o2t653l1e;Maschio;34;Programmatore;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;50;5;4;4;2;4;3;3;2;3;1;1;3;2;3;3;3;3;2;4;3;3;4;4;3;2;;;;;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;4;4;5;1;1;1;1;2;1;4;4;2;2;4;2;3;2;3;4;2;4;2;2;1;PSMP1951;Con sistema iOS (iPhone);Continua;2019-10-07 12:43:35;2019-10-07 12:59:15;a584b55598
1b8e3i35ff807n4z1b8e3yyoer0nfzlx;Maschio;28;Consulenza manageriale nel settore tecnologico volta alla governance e mediazione delle esigenze delle richieste business e quelle provenienti dall' ambito IT;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;50;4;3;1;1;3;3;2;4;1;2;2;4;3;4;3;5;4;1;4;2;1;3;4;2;1;;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;3;4;5;3;4;2;1;1;2;2;4;4;3;4;4;4;3;3;2;3;3;3;3;3;1;MPPA1962;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-10-06 10:42:58;2019-10-06 11:06:44;7beed5e09f
fted1f4gdy3gtm8ftedl4v04rcg5q0zl;Maschio;41;attività operativa di cantiere;Libero professionista/imprenditore;Privato;Scuole Superiori;Coniuge/convivente;;;;;55;5;5;5;5;3;4;3;3;2;3;3;3;4;4;4;5;4;4;3;2;1;5;4;3;1;;;Mal di schiena;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;4;4;4;5;4;2;1;1;1;5;5;1;5;5;4;3;4;3;3;4;4;3;2;2;AC78;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-09-30 11:00:17;2019-09-30 11:23:40;69de1b45bf
gkjzmmjcswt8lpnhswagkjzmmfxjrn1v;Maschio;34;Analista Finanziario;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;5;3;5;2;1;5;3;3;3;2;2;3;3;3;4;4;3;3;1;1;1;3;3;1;2;;;;Sonno disturbato;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;3;2;3;3;3;5;5;1;3;3;3;3;3;1;2;3;3;3;2;2;1;1;2;Joe;Con sistema iOS (iPhone);Continua;2019-09-22 19:51:05;2019-09-22 20:02:12;0088897acc
l9pvgq3r1upnrsrl9pvg7li293lcsxzo;Femmina;27;Praticante in uno studio legale, tirocinante in un ufficio giudiziario;Libero professionista/imprenditore;Pubblico;Laurea/Post-laurea;;;;Altri;;43;5;5;2;1;3;5;4;4;1;3;4;1;4;4;4;4;4;2;4;3;3;3;2;1;2;;Mal di stomaco o nausea;Mal di schiena;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;Battito accelerato a riposo;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;4;4;3;4;3;2;2;3;4;3;4;4;3;2;4;2;4;3;3;3;3;2;4;3;2;FMCS1965;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-09-15 20:10:10;2019-09-15 20:22:11;fe93b87e79
4pqrc42iuz9ri6nhj4pqrc4bgzd1ubtb;Maschio;35;Corporate Manager;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;42;5;4;4;2;3;4;2;2;2;2;1;3;3;3;4;3;4;1;3;3;2;2;3;3;2;;;Mal di schiena;;;;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;Mal di stomaco o nausea;;;;;;;;Acidità o bruciore di stomaco;;;;;;;;;2;3;2;5;3;3;2;2;1;2;2;4;5;1;5;4;2;3;3;3;3;3;3;1;1;2;PPGC1961;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-09-10 20:37:14;2019-09-10 20:52:27;050ed95d5f
zmzooyemuo0pc0tri2djzmzooytgtfwu;Maschio;63;Commerciale in un'azienda in campo energetico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;35;3;3;3;3;3;3;2;2;1;1;1;3;3;2;1;4;3;2;3;2;3;4;2;1;2;;;;;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;2;3;3;4;4;2;4;4;2;3;2;2;3;2;3;2;1;1;NNAA1923;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-09-10 19:33:10;2019-09-10 20:24:37;c4e2e781e7
g5yyo5yh0ghm6y9mag5yyidaz6bg0hqg;Maschio;28;Manager consulenza direzionale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;50;5;5;4;5;5;5;1;1;1;1;1;2;5;4;5;5;5;4;3;2;2;3;2;1;1;;;;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;3;4;2;3;1;2;1;1;2;4;4;1;5;5;2;2;2;3;3;2;2;3;1;2;GARS1958;Con sistema iOS (iPhone);Continua;2019-09-08 18:41:02;2019-09-08 19:11:00;c52103a9da
wg2figmh1e4f1hgzg5wg2fimg8d29uqc;Maschio;43;Impiegato;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;Figli;;;43;3;3;2;2;2;2;2;2;1;1;1;2;2;3;2;5;4;3;3;3;3;4;3;3;2;;;;;;;;Mal di testa;;;Affaticamento agli occhi;;;Costipazione;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;2;4;3;2;1;1;1;1;1;3;3;2;3;2;2;1;2;2;2;2;2;1;1;1;MSRL1936;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-09-07 15:57:38;2019-09-07 16:23:38;1862eef750
94d9e705b16b1547a0181f79251660c6;Femmina;33;Responsabile di selezione del personale in agenzia per il lavoro;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;42;4;3;3;3;1;4;3;3;2;1;2;4;2;3;3;4;4;1;3;2;2;3;3;2;3;;Mal di stomaco o nausea;Mal di schiena;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;;;;;;;;;;;;;;;Stanchezza o affaticamento;4;3;3;5;4;5;3;2;4;1;1;4;3;3;2;3;4;3;3;3;3;2;3;4;1;2;MRLV1950;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-07-18 05:35:37;2019-07-18 06:20:18;a833fa2bad
7d92bf54bfa61c6a958424f7fe2188e0;Femmina;26;Selezione del personale per funzioni corporate , HR Project Manager di progetti a livello mondo con stakeholder internazionali;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;43;5;5;3;5;3;4;2;3;1;1;1;2;5;5;5;4;5;4;3;2;1;4;3;1;1;;;;;;;;Mal di testa;;;;;;;;Calo di appetito;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;3;3;2;5;2;3;1;4;3;4;4;1;4;5;3;2;3;2;4;3;2;1;1;1;Fcrd1955;Con sistema iOS (iPhone);Continua;2019-07-16 10:00:17;2019-07-16 10:12:24;6b08ec82b4
9dc9e81eb0cb91426d1afd4a080376bf;Femmina;45;amministrativo contabile;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;45;4;3;3;1;1;1;1;2;1;1;1;3;3;3;4;5;5;3;3;1;2;3;3;3;1;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;1;3;4;5;5;5;3;3;2;2;2;4;4;2;4;4;2;3;4;4;4;4;2;4;3;2;vdlb1941;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-07-11 07:02:45;2019-07-11 07:20:02;11fa061533
65176b76b406fb44524851f64056a150;Maschio;41;Mansione amministrativa;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;;Da sola/o;40;2;2;2;1;1;2;2;2;1;2;1;2;3;4;4;5;4;4;2;2;2;4;2;1;2;;;;;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;4;3;4;4;3;2;2;2;1;1;3;3;2;3;3;2;2;3;3;4;2;3;2;3;2;RMAA1948;Con sistema iOS (iPhone);Continua;2019-07-08 06:38:54;2019-07-08 07:04:49;11fa061533
