"ID","os","ProtocolId","within.day","ScriptName","day.of.week","RunTimestamp","SubmissionTimestamp","HOW","nPEOPLE","WHOM","d1.da.fare","d2.veloce","d3.multitask","d4.intensa","c1.cambiare","c2.come","c3.tempo","OCS","t1.rilassato.teso","e1.stanco.sveglio","v2.soddisfatto.insoddisfatto","t2.agitato.calmo","e2.pieno.privodenergia","v3.positivo.negativo","t3.nervoso.tranquillo","e3.affaticato.fresco","WHAT","v1.male.bene","PSi","event1.negativi","event2.intensity.n","event3.positivi","event4.intensity.p","Drugs"
"aaaaaa89","iOS","ProtocolWorkM",2,"Survey Lavoro",5,2019-01-18 11:38:03.705,2019-01-18 11:39:25.273,"Alcomputer","0","Nessuno","3","1","1","2","6","6","6","Nessunadiquestecondizoni","4","3","5","2","4","5","2","2","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","6",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",3,"Survey Lavoro",5,2019-01-18 14:41:13.304,2019-01-18 14:42:26.176,"Alcomputer","0","Nessuno","5","4","3","4","6","6","6","Interruzioni","6","4","4","3","3","5","3","4","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","6",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",4,"Survey Lavoro",5,2019-01-18 15:59:52.950,2019-01-18 16:00:56.330,"Alcomputer","0","Nessuno","5","3","3","4","6","6","6","Nessunadiquestecondizoni","2","6","2","3","2","4","3","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","4",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",5,"Survey Lavoro",5,2019-01-18 19:10:34.983,2019-01-18 19:11:29.185,"Alcomputer","0","Nessuno","6","4","3","6","6","6","6","Nessunadiquestecondizoni","3","6","5","3","3","5","2","2","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","4",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",1,"Survey Lavoro",1,2019-01-21 13:09:16.088,2019-01-21 13:10:24.675,"Alcomputer","0","Nessuno","4","3","5","4","6","6","6","Interruzioni","3","3","3","3","5","5","5","4","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",2,"Survey Lavoro",1,2019-01-21 14:29:44.931,2019-01-21 14:30:41.355,"Alcomputer","0","Nessuno","5","3","6","7","6","7","6","Interruzioni","3","4","5","3","4","4","3","4","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",3,"Survey Lavoro",1,2019-01-21 15:57:25.759,2019-01-21 15:58:09.660,"Alcomputer","0","Nessuno","4","4","6","6","6","6","7","Interruzioni","5","6","3","2","2","5","2","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","4",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",4,"Survey Lavoro",1,2019-01-21 17:21:04.220,2019-01-21 17:21:45.971,"Alcomputer","0","Nessuno","4","3","3","6","6","6","6","Interruzioni","6","6","4","3","3","4","2","6","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","6",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",5,"Survey Lavoro",1,2019-01-21 19:05:33.989,2019-01-21 19:06:18.260,"Alcomputer","0","Nessuno","5","3","6","6","7","6","7","Interruzioni","6","6","3","4","2","4","2","6","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",1,"Survey Lavoro",3,2019-01-23 11:33:41.551,2019-01-23 11:34:46.989,"Alcomputer","0","Nessuno","2","2","3","4","6","6","6","Nessunadiquestecondizoni","3","2","3","6","3","6","7","6","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","6",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",2,"Survey Lavoro",3,2019-01-23 12:59:49.959,2019-01-23 13:00:44.161,"Alcomputer","0","Nessuno","3","3","2","3","6","6","6","Nessunadiquestecondizoni","4","5","4","6","4","5","5","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",3,"Survey Lavoro",3,2019-01-23 14:37:58.502,2019-01-23 14:39:05.185,"Alcomputer","0","Nessuno","5","3","3","5","5","6","6","Regoleeprocedureorganizzative","4","5","4","5","3","4","5","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",4,"Survey Lavoro",3,2019-01-23 16:08:35.238,2019-01-23 16:09:28.220,"Alcomputer","0","Nessuno","4","3","3","3","6","6","6","Nessunadiquestecondizoni","4","3","5","3","4","3","4","3","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",5,"Survey Lavoro",3,2019-01-23 17:32:08.930,2019-01-23 17:32:50.715,"Alcomputer","0","Nessuno","4","4","3","3","6","6","6","Interruzioni","5","3","5","4","5","4","5","3","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"AAIC1947","iOS","ProtocolWorkF",1,"Survey Mattina",3,2019-03-27 09:15:20.081,2019-03-27 09:18:20.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","4","5","4","4","5","5",NA,"4","Nessunodiquestisintomi","1","1","1","1","No"
"AAIC1947","iOS","ProtocolWorkF",2,"Survey Lavoro",3,2019-03-27 18:01:11.526,2019-03-27 18:03:44.974,"Alcomputer","4","Nessuno","4","4","4","6","4","3","4","Nessunadiquestecondizoni","5","5","4","4","4","5","5","4","PAUSA-->indicaancheL'ATTIVITÀSVOLTAPRIMAdellapausaeriferiscitiaquestaperleprossimedomande,ANALISIesame/elaborazionediinformazioniqualitativeoquantitativepermigliorarnelacomprensione","4",NA,NA,NA,NA,NA,NA
"AAIC1947","iOS","ProtocolWorkF",1,"Survey Mattina",5,2019-03-29 09:24:35.481,2019-03-29 09:41:14.810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","5","5","5","5","5","6","5",NA,"5","Nessunodiquestisintomi","1","1","1","1","No"
"AAIC1947","iOS","ProtocolWorkF",2,"Survey Lavoro",5,2019-03-29 10:35:23.811,2019-03-29 10:39:15.584,"Alcomputer","8","Nessuno","4","4","4","4","2","4","4","Nessunadiquestecondizoni","5","5","4","6","4","4","5","5","ANALISIesame/elaborazionediinformazioniqualitativeoquantitativepermigliorarnelacomprensione","5",NA,NA,NA,NA,NA,NA
"AAIC1947","iOS","ProtocolWorkF",3,"Survey Lavoro",5,2019-03-29 13:39:39.362,2019-03-29 13:42:14.690,"Alcomputer","8","Nessuno","4","4","2","3","2","2","3","Nessunadiquestecondizoni","4","4","4","5","5","6","6","4","ANALISIesame/elaborazionediinformazioniqualitativeoquantitativepermigliorarnelacomprensione","6",NA,NA,NA,NA,NA,NA
"AAIC1947","iOS","ProtocolWorkF",4,"Survey Lavoro",5,2019-03-29 14:56:07.517,2019-03-29 14:57:54.840,"Alcomputer","8","Nessuno","4","3","3","3","3","3","3","Nessunadiquestecondizoni","1","5","1","6","5","5","7","5","PAUSA-->indicaancheL'ATTIVITÀSVOLTAPRIMAdellapausaeriferiscitiaquestaperleprossimedomande,ANALISIesame/elaborazionediinformazioniqualitativeoquantitativepermigliorarnelacomprensione","7",NA,NA,NA,NA,NA,NA
"AAIC1947","iOS","ProtocolWorkF",5,"Survey Lavoro",5,2019-03-29 18:00:42.350,2019-03-29 18:02:31.021,"Alcomputer","8","Nessuno","4","3","3","4","2","2","3","Nessunadiquestecondizoni","4","3","4","4","5","5","5","4","PAUSA-->indicaancheL'ATTIVITÀSVOLTAPRIMAdellapausaeriferiscitiaquestaperleprossimedomande,ANALISIesame/elaborazionediinformazioniqualitativeoquantitativepermigliorarnelacomprensione","7",NA,NA,NA,NA,NA,NA
"AAIC1947","iOS","ProtocolWorkF",3,"Survey Lavoro",3,2019-04-03 11:15:26.041,2019-04-03 11:17:47.053,"Alcomputer","5","Nessuno","4","4","4","4","4","3","4","Nessunadiquestecondizoni","4","4","4","4","4","5","4","4","ANALISIesame/elaborazionediinformazioniqualitativeoquantitativepermigliorarnelacomprensione","4",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",1,"Survey Mattina",1,2019-04-01 08:15:00.862,2019-04-01 08:16:38.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4","7","6","4","2","7","5",NA,"6","Nessunodiquestisintomi","1","1","1","1","No"
"AALB1953","Android","ProtocolWorkF",2,"Survey Lavoro",1,2019-04-01 09:29:38.749,2019-04-01 09:38:14.474,"Alcomputer","3","Nessuno","4","2","4","2","2","6","4","Nessunadiquestecondizoni","2","6","3","6","2","7","7","7","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",3,"Survey Lavoro",1,2019-04-01 10:52:03.173,2019-04-01 10:55:11.680,"Alcomputer","3","Colleghi","4","4","3","3","3","5","5","Nessunadiquestecondizoni","3","5","2","6","2","6","6","5","ATTIVITÀAMMINISTRSTIVEpraticheburocraticheroutinarie","5",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",4,"Survey Lavoro",1,2019-04-01 12:21:43.378,2019-04-01 12:27:39.655,"Alcomputer,Altelefono","3","Nessuno","5","4","4","4","2","5","5","Nessunadiquestecondizoni","4","4","3","6","4","5","5","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","4",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",5,"Survey Lavoro",1,2019-04-01 13:53:22.114,2019-04-01 13:55:50.835,"Alcomputer","3","Colleghi","4","2","4","3","3","5","5","Nessunadiquestecondizoni","4","4","4","6","5","6","6","3","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi,ATTIVITÀAMMINISTRSTIVEpraticheburocraticheroutinarie","4",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",6,"Survey Lavoro",1,2019-04-01 15:33:22.816,2019-04-01 15:36:21.394,"Alcomputer","2","Colleghi","5","3","3","4","3","5","3","Nessunadiquestecondizoni","3","3","3","6","3","4","6","4","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","4",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",7,"Survey Lavoro",1,2019-04-01 17:08:22.747,2019-04-01 17:12:59.381,"Alcomputer,Altelefono","2","Nessuno","5","3","3","3","3","5","6","Nessunadiquestecondizoni","3","2","3","6","4","6","6","3","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","4",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",1,"Survey Mattina",3,2019-04-03 08:15:00.737,2019-04-03 08:17:01.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6","7","7","2","2","7","6",NA,"7","Affaticamentodegliocchi","1","1","1","1","No"
"AALB1953","Android","ProtocolWorkF",2,"Survey Lavoro",3,2019-04-03 09:22:50.904,2019-04-03 09:39:15.151,"Alcomputer,Condocumenticartacei","1","Colleghi","3","3","3","3","6","6","6","Nessunadiquestecondizoni","1","7","2","7","1","7","7","6","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","7",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",3,"Survey Lavoro",3,2019-04-03 10:58:20.821,2019-04-03 11:05:52.716,"Alcomputer","2","Colleghi","4","3","4","4","4","6","6","Nessunadiquestecondizoni","3","6","2","6","6","7","7","6","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",4,"Survey Lavoro",3,2019-04-03 12:38:17.820,2019-04-03 12:44:57.671,"Alcomputer,Altelefono","3","Nessuno","4","5","4","4","3","7","7","Nessunadiquestecondizoni","2","5","2","6","3","6","6","6","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",5,"Survey Lavoro",3,2019-04-03 13:57:54.710,2019-04-03 14:00:48.069,"Alcomputer,Altelefono","3","Nessuno","4","3","3","3","5","5","5","Nessunadiquestecondizoni","3","5","2","6","5","7","6","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi,NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti","6",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",6,"Survey Lavoro",3,2019-04-03 15:27:54.748,2019-04-03 15:32:47.602,"Alcomputer","3","Colleghi","4","4","4","4","4","4","5","Nessunadiquestecondizoni","2","4","2","6","5","4","6","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","6",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",7,"Survey Lavoro",3,2019-04-03 17:00:56.145,2019-04-03 17:02:56.612,"Alcomputer","3","Colleghi","5","4","4","4","5","5","5","Nessunadiquestecondizoni","4","4","2","6","4","6","6","4","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","6",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",1,"Survey Mattina",5,2019-04-05 08:15:00.665,2019-04-05 08:17:53.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5","6","6","3","3","5","6",NA,"7","Aciditàobrucioredistomaco","1","1","1","1","No"
"AALB1953","Android","ProtocolWorkF",2,"Survey Lavoro",5,2019-04-05 10:57:53.764,2019-04-05 10:59:46.952,"Alcomputer","2","Nessuno","3","2","3","3","4","6","6","Nessunadiquestecondizoni","2","6","2","6","2","6","6","6","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","6",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",3,"Survey Lavoro",5,2019-04-05 12:32:53.309,2019-04-05 12:40:44.559,"Alcomputer","3","Colleghi","4","4","4","5","5","5","5","Nessunadiquestecondizoni","2","4","3","5","5","5","6","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","6",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",4,"Survey Lavoro",5,2019-04-05 14:07:31.681,2019-04-05 14:12:59.378,"Alcomputer,Altelefono","2","Colleghi","4","4","5","4","5","5","5","Nessunadiquestecondizoni","5","4","4","5","4","5","5","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",5,"Survey Lavoro",5,2019-04-05 15:32:30.676,2019-04-05 15:34:34.927,"Alcomputer","2","Colleghi","3","2","4","3","3","6","6","Nessunadiquestecondizoni","2","4","2","6","3","6","7","5","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi,ATTIVITÀAMMINISTRSTIVEpraticheburocraticheroutinarie","6",NA,NA,NA,NA,NA,NA
"AALB1953","Android","ProtocolWorkF",6,"Survey Lavoro",5,2019-04-05 17:02:31.734,2019-04-05 17:05:12.858,"Alcomputer","2","Nessuno","5","3","4","4","4","5","5","Nessunadiquestecondizoni","4","3","2","6","4","5","5","3","ATTIVITÀAMMINISTRSTIVEpraticheburocraticheroutinarie","6",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",1,"Survey Lavoro",1,2018-12-03 10:38:26.467,2018-12-03 10:42:21.165,"Alcomputer","0","Nessuno","5","5","3","6","6","7","5","Nessunadiquestecondizoni","3","5","2","4","4","5","4","4","ANALISIesame/elaborazionediinformazioniqualitativeoquantitativepermigliorarnelacomprensione","5",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",2,"Survey Lavoro",1,2018-12-03 11:50:29.052,2018-12-03 12:00:12.368,"Alcomputer","0","Nessuno","5","5","4","4","5","5","6","Regoleeprocedureorganizzative","4","4","3","5","4","5","5","4","NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti","5",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",3,"Survey Lavoro",1,2018-12-03 13:25:30.214,2018-12-03 13:29:00.690,"Alcomputer","2","Colleghi","5","5","5","5","4","5","5","Nessunadiquestecondizoni","5","5","3","4","4","5","4","4","NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti","5",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",1,"Survey Lavoro",3,2018-12-05 10:34:27.134,2018-12-05 10:36:37.486,"Alcomputer","0","Nessuno","6","5","5","5","3","5","4","Nessunadiquestecondizoni","5","4","3","4","4","4","3","4","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",2,"Survey Lavoro",3,2018-12-05 12:04:26.490,2018-12-05 12:12:05.255,"Facciaafaccia/oralmente","2","Colleghi","5","5","4","5","4","5","4","Nessunadiquestecondizoni","4","4","2","4","5","5","3","3","DIVULGAZIONEinsegnamento,presentazioneocondivisionediinformazioni","5",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",3,"Survey Lavoro",3,2018-12-05 16:39:26.397,2018-12-05 16:51:01.691,"Facciaafaccia/oralmente","80","Clienti/utentidelservizio","4","4","2","5","1","4","5","Nessunadiquestecondizoni","4","2","4","3","6","4","5","3","DIVULGAZIONEinsegnamento,presentazioneocondivisionediinformazioni","4",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",4,"Survey Lavoro",3,2018-12-05 18:04:26.589,2018-12-05 18:07:32.521,"Alcomputer","0","Nessuno","5","5","5","5","6","7","5","Nessunadiquestecondizoni","3","4","4","4","6","5","4","5","PAUSA-->indicaancheL'ATTIVITÀSVOLTAPRIMAdellapausaeriferiscitiaquestaperleprossimedomande,NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti","5",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",1,"Survey Lavoro",5,2018-12-07 11:59:09.173,2018-12-07 12:09:01.278,"Alcomputer","0","Nessuno","5","5","5","5","3","6","5","Nessunadiquestecondizoni","5","4","5","4","4","4","4","4","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","4",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",2,"Survey Lavoro",5,2018-12-07 13:23:30.320,2018-12-07 13:38:00.956,"Alcomputer","0","Colleghi","5","3","4","5","4","6","4","Nessunadiquestecondizoni","4","4","3","4","5","5","5","4","NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti","5",NA,NA,NA,NA,NA,NA
"AAPE1953","Android","ProtocolWorkM",3,"Survey Lavoro",5,2018-12-07 16:26:50.160,2018-12-07 16:46:19.635,"Alcomputer","0","Nessuno","5","4","4","5","5","5","4","Interruzioni","3","4","5","5","5","5","5","4","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","5",NA,NA,NA,NA,NA,NA
"ABLM1923","Android","ProtocolWorkF",1,"Survey Mattina",1,2018-12-03 09:15:00.474,2018-12-03 09:22:30.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","7","5","4","5","2","4","6",NA,"6","Nessunodiquestisintomi","1","1","4","3","No"
"ABLM1923","Android","ProtocolWorkF",2,"Survey Lavoro",1,2018-12-03 11:55:34.062,2018-12-03 11:58:34.188,"Alcomputer","0","Nessuno","6","5","4","5","1","2","2","Nessunadiquestecondizoni","5","3","4","4","3","4","4","3","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi","4",NA,NA,NA,NA,NA,NA
